year_film,year_ceremony,ceremony,category,film
1927,1928,1,OUTSTANDING PICTURE,Wings
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Sunrise
1928,1929,2,OUTSTANDING PICTURE,The Broadway Melody
1929,1930,3,OUTSTANDING PRODUCTION,All Quiet on the Western Front
1930,1931,4,OUTSTANDING PRODUCTION,Cimarron
1931,1932,5,OUTSTANDING PRODUCTION,Grand Hotel
1931,1932,5,SHORT SUBJECT (Cartoon),Flowers and Trees
1931,1932,5,SHORT SUBJECT (Comedy),The Music Box
1931,1932,5,SHORT SUBJECT (Novelty),Wrestling Swordfish
1932,1933,6,OUTSTANDING PRODUCTION,Cavalcade
1932,1933,6,SHORT SUBJECT (Cartoon),The Three Little Pigs
1932,1933,6,SHORT SUBJECT (Comedy),So This Is Harris
1932,1933,6,SHORT SUBJECT (Novelty),Krakatoa
1934,1935,7,ASSISTANT DIRECTOR,Viva Villa!
1934,1935,7,MUSIC (Scoring),One Night of Love
1934,1935,7,MUSIC (Song),The Gay Divorcee
1934,1935,7,OUTSTANDING PRODUCTION,It Happened One Night
1934,1935,7,SHORT SUBJECT (Cartoon),The Tortoise and the Hare
1934,1935,7,SHORT SUBJECT (Comedy),La Cucaracha
1934,1935,7,SHORT SUBJECT (Novelty),City of Wax
1935,1936,8,ASSISTANT DIRECTOR,The Lives of a Bengal Lancer
1935,1936,8,DANCE DIRECTION,Broadway Melody of 1936;
1935,1936,8,MUSIC (Scoring),The Informer
1935,1936,8,MUSIC (Song),Gold Diggers of 1935
1935,1936,8,OUTSTANDING PRODUCTION,Mutiny on the Bounty
1935,1936,8,SHORT SUBJECT (Cartoon),Three Orphan Kittens
1935,1936,8,SHORT SUBJECT (Comedy),How to Sleep
1935,1936,8,SHORT SUBJECT (Novelty),Wings over Mt. Everest
1936,1937,9,ASSISTANT DIRECTOR,The Charge of the Light Brigade
1936,1937,9,DANCE DIRECTION,The Great Ziegfeld
1936,1937,9,MUSIC (Scoring),Anthony Adverse
1936,1937,9,MUSIC (Song),Swing Time
1936,1937,9,OUTSTANDING PRODUCTION,The Great Ziegfeld
1936,1937,9,SHORT SUBJECT (Cartoon),The Country Cousin
1936,1937,9,SHORT SUBJECT (Color),Give Me Liberty
1936,1937,9,SHORT SUBJECT (One-reel),Bored of Education
1936,1937,9,SHORT SUBJECT (Two-reel),The Public Pays
1937,1938,10,ASSISTANT DIRECTOR,In Old Chicago
1937,1938,10,DANCE DIRECTION,A Damsel in Distress
1937,1938,10,MUSIC (Scoring),One Hundred Men and a Girl
1937,1938,10,MUSIC (Song),Waikiki Wedding
1937,1938,10,OUTSTANDING PRODUCTION,The Life of Emile Zola
1937,1938,10,SHORT SUBJECT (Cartoon),The Old Mill
1937,1938,10,SHORT SUBJECT (Color),Penny Wisdom
1937,1938,10,SHORT SUBJECT (One-reel),The Private Life of the Gannets
1937,1938,10,SHORT SUBJECT (Two-reel),Torture Money
1938,1939,11,MUSIC (Scoring),Alexander's Ragtime Band
1938,1939,11,MUSIC (Song),The Big Broadcast of 1938
1938,1939,11,OUTSTANDING PRODUCTION,You Can't Take It with You
1938,1939,11,SHORT SUBJECT (Cartoon),Ferdinand the Bull
1938,1939,11,SHORT SUBJECT (One-reel),That Mothers Might Live
1938,1939,11,SHORT SUBJECT (Two-reel),Declaration of Independence
1939,1940,12,MUSIC (Scoring),Stagecoach
1939,1940,12,MUSIC (Song),The Wizard of Oz
1939,1940,12,OUTSTANDING PRODUCTION,Gone with the Wind
1939,1940,12,SHORT SUBJECT (Cartoon),The Ugly Duckling
1939,1940,12,SHORT SUBJECT (One-reel),Busy Little Bears
1939,1940,12,SHORT SUBJECT (Two-reel),Sons of Liberty
1939,1940,12,SPECIAL EFFECTS,The Rains Came
1940,1941,13,MUSIC (Scoring),Tin Pan Alley
1940,1941,13,MUSIC (Song),Pinocchio
1940,1941,13,OUTSTANDING PRODUCTION,Rebecca
1940,1941,13,SHORT SUBJECT (Cartoon),The Milky Way
1940,1941,13,SHORT SUBJECT (One-reel),Quicker 'N a Wink
1940,1941,13,SHORT SUBJECT (Two-reel),"Teddy, the Rough Rider"
1940,1941,13,SPECIAL EFFECTS,The Thief of Bagdad
1941,1942,14,DOCUMENTARY (Short Subject),Churchill's Island
1941,1942,14,MUSIC (Song),Lady Be Good
1941,1942,14,SHORT SUBJECT (Cartoon),Lend a Paw
1941,1942,14,SHORT SUBJECT (One-reel),Of Pups and Puzzles
1941,1942,14,SHORT SUBJECT (Two-reel),Main Street on the March!
1941,1942,14,SPECIAL EFFECTS,I Wanted Wings
1942,1943,15,MUSIC (Song),Holiday Inn
1942,1943,15,SHORT SUBJECT (Cartoon),Der Fuehrer's Face
1942,1943,15,SHORT SUBJECT (One-reel),Speaking of Animals and Their Families
1942,1943,15,SHORT SUBJECT (Two-reel),Beyond the Line of Duty
1942,1943,15,SPECIAL EFFECTS,Reap the Wild Wind
1943,1944,16,DOCUMENTARY (Feature),Desert Victory
1943,1944,16,DOCUMENTARY (Short Subject),December 7th
1943,1944,16,MUSIC (Song),"Hello, Frisco, Hello"
1943,1944,16,SHORT SUBJECT (Cartoon),Yankee Doodle Mouse
1943,1944,16,SHORT SUBJECT (One-reel),Amphibious Fighters
1943,1944,16,SHORT SUBJECT (Two-reel),Heavenly Music
1943,1944,16,SPECIAL EFFECTS,Crash Dive
1944,1945,17,DOCUMENTARY (Feature),The Fighting Lady
1944,1945,17,DOCUMENTARY (Short Subject),With the Marines at Tarawa
1944,1945,17,MUSIC (Song),Going My Way
1944,1945,17,SHORT SUBJECT (Cartoon),Mouse Trouble
1944,1945,17,SHORT SUBJECT (One-reel),Who's Who in Animal Land
1944,1945,17,SHORT SUBJECT (Two-reel),I Won't Play
1944,1945,17,SPECIAL EFFECTS,Thirty Seconds over Tokyo
1945,1946,18,DOCUMENTARY (Feature),The True Glory
1945,1946,18,DOCUMENTARY (Short Subject),Hitler Lives?
1945,1946,18,MUSIC (Song),State Fair
1945,1946,18,SHORT SUBJECT (Cartoon),Quiet Please!
1945,1946,18,SHORT SUBJECT (One-reel),Stairway to Light
1945,1946,18,SHORT SUBJECT (Two-reel),Star in the Night
1945,1946,18,SPECIAL EFFECTS,Wonder Man
1946,1947,19,DOCUMENTARY (Short Subject),Seeds of Destiny
1946,1947,19,MUSIC (Song),The Harvey Girls
1946,1947,19,SHORT SUBJECT (Cartoon),The Cat Concerto
1946,1947,19,SHORT SUBJECT (One-reel),Facing Your Danger
1946,1947,19,SHORT SUBJECT (Two-reel),A Boy and His Dog
1946,1947,19,SPECIAL EFFECTS,Blithe Spirit
1947,1948,20,DOCUMENTARY (Feature),Design for Death
1947,1948,20,DOCUMENTARY (Short Subject),First Steps
1947,1948,20,MUSIC (Song),Song of the South
1947,1948,20,SHORT SUBJECT (Cartoon),Tweetie Pie
1947,1948,20,SHORT SUBJECT (One-reel),Good-bye Miss Turlock
1947,1948,20,SHORT SUBJECT (Two-reel),Climbing the Matterhorn
1947,1948,20,SPECIAL EFFECTS,Green Dolphin Street
1948,1949,21,DOCUMENTARY (Feature),The Secret Land
1948,1949,21,DOCUMENTARY (Short Subject),Toward Independence
1948,1949,21,MUSIC (Song),The Paleface
1948,1949,21,SHORT SUBJECT (Cartoon),The Little Orphan
1948,1949,21,SHORT SUBJECT (One-reel),Symphony of a City
1948,1949,21,SHORT SUBJECT (Two-reel),Seal Island
1948,1949,21,SPECIAL EFFECTS,Portrait of Jennie
1949,1950,22,DOCUMENTARY (Feature),Daybreak in Udi
1949,1950,22,DOCUMENTARY (Short Subject),A Chance to Live
1949,1950,22,DOCUMENTARY (Short Subject),So Much for So Little
1949,1950,22,MUSIC (Song),Neptune's Daughter
1949,1950,22,SHORT SUBJECT (Cartoon),For Scent-Imental Reasons
1949,1950,22,SHORT SUBJECT (One-reel),Aquatic House-Party
1949,1950,22,SHORT SUBJECT (Two-reel),Van Gogh
1949,1950,22,SPECIAL EFFECTS,Mighty Joe Young
1950,1951,23,DOCUMENTARY (Feature),The Titan: Story of Michelangelo
1950,1951,23,DOCUMENTARY (Short Subject),Why Korea?
1950,1951,23,MUSIC (Song),"Captain Carey, U.S.A."
1950,1951,23,SHORT SUBJECT (Cartoon),Gerald McBoing-Boing
1950,1951,23,SHORT SUBJECT (One-reel),Grandad of Races
1950,1951,23,SHORT SUBJECT (Two-reel),In Beaver Valley
1950,1951,23,SPECIAL EFFECTS,Destination Moon
1951,1952,24,DOCUMENTARY (Feature),Kon-Tiki
1951,1952,24,DOCUMENTARY (Short Subject),Benjy
1951,1952,24,MUSIC (Song),Here Comes the Groom
1951,1952,24,SHORT SUBJECT (Cartoon),The Two Mouseketeers
1951,1952,24,SHORT SUBJECT (One-reel),World of Kids
1951,1952,24,SHORT SUBJECT (Two-reel),Nature's Half Acre
1951,1952,24,SPECIAL EFFECTS,When Worlds Collide
1952,1953,25,DOCUMENTARY (Feature),The Sea around Us
1952,1953,25,DOCUMENTARY (Short Subject),Neighbours
1952,1953,25,MUSIC (Song),High Noon
1952,1953,25,SHORT SUBJECT (Cartoon),Johann Mouse
