Film year,Ceremony year,Ceremony number,Winning category,Winner name,Film title,Film Duration,Film score
1927,1928,1,Actor,Emil Jannings,The Last Command,88,80.0
1927,1928,1,Art Direction,William Cameron Menzies,The Dove;,90,65.0
1927,1928,1,Cinematography,Charles Rosher,Sunrise,94,81.0
1927,1928,1,Cinematography,Karl Struss,Sunrise,94,81.0
1927,1928,1,Directing (comedy Picture),Lewis Milestone,Two Arabian Knights,92,67.0
1927,1928,1,Engineering Effects,Roy Pomeroy,Wings,144,76.0
1927,1928,1,Outstanding Picture,Paramount Famous Lasky,Wings,144,76.0
1927,1928,1,Unique And Artistic Picture,Fox,Sunrise,94,81.0
1927,1928,1,Writing (original Story),Ben Hecht,Underworld,80,75.0
1928,1929,2,Actor,Warner Baxter,In Old Arizona,95,55.0
1928,1929,2,Art Direction,Cedric Gibbons,The Bridge of San Luis Rey,120,50.0
1928,1929,2,Cinematography,Clyde De Vinna,White Shadows in the South Seas,88,68.0
1928,1929,2,Directing,Frank Lloyd,The Divine Lady,99,62.0
1928,1929,2,Outstanding Picture,Metro-Goldwyn-Mayer,The Broadway Melody,100,56.0
1929,1930,3,Actor,George Arliss,Disraeli,90,61.0
1929,1930,3,Actress,Norma Shearer,The Divorcee,84,67.0
1929,1930,3,Cinematography,"Joseph T. Rucker, Willard Van Der Veer",With Byrd at the South Pole,82,69.0
1929,1930,3,Directing,Lewis Milestone,All Quiet on the Western Front,148,78.0
1929,1930,3,Outstanding Production,Universal,All Quiet on the Western Front,148,78.0
1929,1930,3,Writing,Frances Marion,The Big House,95,58.0
1930,1931,4,Actor,Lionel Barrymore,A Free Soul,93,66.0
1930,1931,4,Actress,Marie Dressler,Min and Bill,69,67.0
1930,1931,4,Writing (original Story),John Monk Saunders,The Dawn Patrol,108,71.0
1931,1932,5,Actor,Wallace Beery,The Champ,86,73.0
1931,1932,5,Actor,Fredric March,Dr. Jekyll and Mr. Hyde,98,76.0
1931,1932,5,Art Direction,Gordon Wiles,Transatlantic,78,63.0
1931,1932,5,Cinematography,Lee Garmes,Shanghai Express,82,73.0
1931,1932,5,Directing,Frank Borzage,Bad Girl,90,65.0
1931,1932,5,Short Subject (cartoon),"Walt Disney, Producer",Flowers and Trees,8,73.0
1931,1932,5,Short Subject (comedy),"Hal Roach, Producer",The Music Box,29,79.0
1931,1932,5,Writing (adaptation),Edwin Burke,Bad Girl,90,65.0
1931,1932,5,Writing (original Story),Frances Marion,The Champ,86,73.0
1932,1933,6,Actor,Charles Laughton,The Private Life of Henry VIII,97,70.0
1932,1933,6,Actress,Katharine Hepburn,Morning Glory,107,65.0
1932,1933,6,Cinematography,"Charles Bryant Lang, Jr.",A Farewell to Arms,83,64.0
1932,1933,6,Short Subject (cartoon),"Walt Disney, Producer",The Three Little Pigs,9,75.0
1932,1933,6,Short Subject (comedy),"Louis Brock, Producer",So This Is Harris,98,54.0
1932,1933,6,Sound Recording,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",A Farewell to Arms,83,64.0
1932,1933,6,Writing (adaptation),"Victor Heerman, Sarah Y. Mason",Little Women,135,78.0
1932,1933,6,Writing (original Story),Robert Lord,One Way Passage,67,75.0
1934,1935,7,Actor,Clark Gable,It Happened One Night,105,81.0
1934,1935,7,Actress,Claudette Colbert,It Happened One Night,105,81.0
